
Menu:
1. Show Processes
2. Run FCFS
3. Run SJF
4. Run Round Robin
5. Exit
Enter your choice: PID	Name		Priority	Burst Time	Arrival Time	Left Time
1	(syste		20		2906		0		2906
2	(kthre		20		6		0		6
3	(rcu_g		0		0		0		0
4	(rcu_p		0		0		0		0
5	(slub_		0		0		0		0
6	(netns		0		0		0		0
8	(kwork		0		1		0		1
10	(mm_pe		0		0		0		0
11	(rcu_t		20		0		0		0
12	(rcu_t		20		0		0		0
13	(rcu_t		20		0		0		0
14	(ksoft		20		2695		0		2695
15	(rcu_p		20		2177		0		2177
16	(migra		-100		172		0		172
17	(idle_		-51		0		0		0
19	(cpuhp		20		1		0		1
20	(kdevt		20		1		0		1
21	(inet_		0		0		0		0
22	(kaudi		20		2		0		2
23	(khung		20		24		0		24
24	(oom_r		20		0		0		0
27	(write		0		0		0		0
28	(kcomp		20		787		0		787
29	(ksmd)		25		0		0		0
30	(khuge		39		0		0		0
31	(kinte		0		0		0		0
32	(kbloc		0		0		0		0
33	(blkcg		0		0		0		0
34	(tpm_d		0		0		0		0
35	(ata_s		0		5		0		5
36	(md)		0		0		0		0
37	(edac-		0		0		0		0
38	(devfr		0		0		0		0
39	(watch		-51		0		0		0
41	(kswap		20		819		0		819
42	(ecryp		20		0		0		0
43	(kthro		0		0		0		0
44	(acpi_		0		0		0		0
45	(scsi_		20		36		0		36
46	(scsi_		0		0		0		0
47	(scsi_		20		20		0		20
48	(scsi_		0		0		0		0
53	(mld)		0		0		0		0
54	(ipv6_		0		0		0		0
61	(kstrp		0		0		0		0
63	(zswap		0		0		0		0
64	(kwork		0		0		0		0
68	(charg		0		0		0		0
102	(scsi_		20		4		0		4
103	(scsi_		0		0		0		0
132	(jbd2/		20		415		0		415
133	(ext4-		0		0		0		0
172	(syste		19		1137		0		1137
202	(irq/1		-51		0		0		0
218	(syste		20		1059		0		1059
255	(kwork		0		4176		0		4176
270	(crypt		0		0		0		0
493	(syste		20		10394		0		10394
494	(syste		20		730		0		730
495	(syste		20		239		0		239
541	(accou		20		111		0		111
542	(acpid		20		66		0		66
545	(avahi		20		575		0		575
546	(cron)		20		29		0		29
547	(dbus-		20		1271		0		1271
548	(Netwo		20		6681		0		6681
560	(netwo		20		405		0		405
561	(polki		20		1479		0		1479
562	(power		20		45		0		45
564	(rsysl		20		24		0		24
568	(snapd		20		1209		0		1209
569	(switc		20		25		0		25
572	(syste		20		316		0		316
573	(udisk		20		344		0		344
574	(wpa_s		20		177		0		177
580	(avahi		20		0		0		0
656	(cupsd		20		1447		0		1447
661	(unatt		20		323		0		323
672	(Modem		20		253		0		253
719	(gdm3)		20		58		0		58
735	(cups-		20		98		0		98
743	(kerne		20		9		0		9
747	(kerne		20		21		0		21
817	(kwork		20		8565		0		8565
855	(rtkit		21		16		0		16
1001	(upowe		20		64		0		64
1018	(packa		20		320		0		320
1175	(color		20		128		0		128
1248	(gdm-s		20		82		0		82
1261	(syste		20		745		0		745
1262	((sd-p		20		0		0		0
1268	(pipew		9		50		0		50
1269	(pipew		20		46		0		46
1270	(pulse		9		184		0		184
1271	(snapd		20		777		0		777
1280	(dbus-		20		757		0		757
1285	(gvfsd		20		44		0		44
1287	(gnome		20		135		0		135
1294	(gvfsd		20		6		0		6
1308	(xdg-d		20		18		0		18
1312	(xdg-p		20		7		0		7
1315	(gdm-w		20		10		0		10
1320	(fuser		20		3		0		3
1330	(gnome		20		84		0		84
1331	(track		39		1011		0		1011
1378	(gnome		20		13		0		13
1392	(gnome		20		112		0		112
1419	(at-sp		20		28		0		28
1420	(gnome		20		115434		0		115434
1429	(dbus-		20		45		0		45
1468	(gnome		20		137		0		137
1475	(evolu		20		204		0		204
1476	(gvfs-		20		155		0		155
1484	(gvfs-		20		21		0		21
1492	(gvfs-		20		26		0		26
1496	(gvfs-		20		25		0		25
1500	(goa-d		20		146		0		146
1509	(goa-i		20		40		0		40
1516	(gvfs-		20		23		0		23
1523	(evolu		20		173		0		173
1526	(snapd		20		251		0		251
1532	(gvfsd		20		58		0		58
1541	(dconf		20		23		0		23
1542	(evolu		20		78		0		78
1551	(xdg-d		20		93		0		93
1559	(gjs)		20		143		0		143
1561	(at-sp		20		30		0		30
1571	(xdg-d		20		299		0		299
1574	(sh)		20		6		0		6
1577	(gsd-a		20		13		0		13
1581	(gsd-c		20		219		0		219
1582	(gsd-d		20		55		0		55
1583	(gsd-h		20		224		0		224
1584	(gsd-k		20		159		0		159
1585	(gsd-m		20		193		0		193
1586	(gsd-p		20		203		0		203
1591	(ibus-		20		463		0		463
1596	(gsd-p		20		145		0		145
1597	(gsd-r		20		34		0		34
1601	(gsd-s		20		24		0		24
1605	(gsd-s		20		54		0		54
1606	(gsd-s		20		25		0		25
1609	(gsd-s		20		27		0		27
1610	(gsd-w		20		160		0		160
1646	(ibus-		20		12		0		12
1652	(evolu		20		345		0		345
1654	(ibus-		20		1602		0		1602
1663	(ibus-		20		15		0		15
1670	(gsd-d		20		25		0		25
1690	(gsd-p		20		54		0		54
1740	(ibus-		20		102		0		102
1745	(xdg-d		20		212		0		212
1756	(snap-		20		1591		0		1591
1792	(gjs)		20		110		0		110
1884	(gjs)		20		1312		0		1312
1928	(gvfsd		20		15		0		15
1971	(fwupd		20		2353		0		2353
2538	(updat		20		228		0		228
3149	(gnome		20		704		0		704
3152	(seaho		20		415		0		415
3153	(gnome		20		15822		0		15822
3238	(bash)		20		190		0		190
3738	(kwork		20		0		0		0
3770	(kwork		20		951		0		951
3772	(kwork		20		622		0		622
3780	(kwork		20		259		0		259
3846	(kwork		20		0		0		0
3847	(kwork		20		0		0		0
